id,lon,lat,number,nonstructural,structural,night,taxonomy,NAME_1,NAME_2,NAME_3,NAME_4,policy
a1,83.31382,29.46117,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Tinje,p_Mid-Western
a2,83.31382,29.23617,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Tinje,p_Mid-Western
a3,83.53882,29.08617,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Chharka,p_Mid-Western
a4,80.68882,28.93617,1,19845,11340,5,Wood,Far-Western,Seti,Kailali,Nigali,p_Far-Western
a5,83.53882,29.01117,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Chharka,p_Mid-Western
a6,81.13882,28.78617,1,19845,11340,5,Wood,Far-Western,Seti,Kailali,Sugarkhal,p_Far-Western
a7,83.98882,28.48617,1,19845,11340,5,Wood,West,Gandaki,Kaski,Machhapuchchhre,p_West
a8,83.23882,29.38617,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Tinje,p_Mid-Western
a9,83.01382,29.08617,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Raha,p_Mid-Western
a10,83.31382,28.71117,1,19845,11340,5,Wood,West,Dhaualagiri,Myagdi,Mudi,p_West
a11,86.91382,27.73617,1,19845,11340,5,Wood,East,Sagarmatha,Solukhumbu,Chheskam,p_East
a12,83.16382,29.31117,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Saldang,p_Mid-Western
a13,80.61382,28.93617,1,19845,11340,5,Wood,Far-Western,Seti,Kailali,Godawari,p_Far-Western
a14,83.91382,29.01117,1,19845,11340,5,Wood,West,Dhaualagiri,Mustang,Surkhang,p_West
a15,82.03882,30.28617,1,19845,11340,5,Wood,Mid-Western,Karnali,Humla,Thehe,p_Mid-Western
a16,83.38882,29.31117,1,19845,11340,5,Wood,Mid-Western,Karnali,Dolpa,Tinje,p_Mid-Western
a17,80.68882,28.86117,1,19845,11340,5,Wood,Far-Western,Seti,Kailali,Khairala,p_Far-Western
