policy,Limit,Deductible,QuotaShare,Surplus_1,Surplus_2,Surplus_West,Facultative,WXL_East,WXL_West,CatCentral,CatEast,CatWest,CatCountry
p_Central_Bara,1760000000,500000,0.4,0.2,0.3,0,0,0,0,1,0,0,1
p_Central_Bhaktapur,744000000,5000000,0.3,0.23,0.12,0,0,0,0,1,0,0,1
p_Central_Chitawan,1380000000,10000000,0.3,0.24,0.06,0,0,0,0,1,0,0,1
p_Central_Dhading,1076000000,10000000,0.3,0.25,0.09,0,0,0,0,1,0,0,1
p_Central_Dhanusa,1688000000,10000000,0.2,0.3,0.11,0,0,0,0,1,0,0,1
p_Central_Dolakha,552000000,1000000,0.21,0.08,0.05,0,0,0,0,1,0,0,1
p_Central_Kathmandu,2068000000,15000000,0.3,0.25,0.1,0,0.2,0,0,1,0,0,1
p_Central_Kavrepalanchok,1396000000,10000000,0.4,0.17,0.03,0,0,0,0,1,0,0,1
p_Central_Lalitpur,2228000000,15000000,0.25,0.18,0.12,0,0.25,0,0,1,0,0,1
p_Central_Mahottari,1368000000,10000000,0.2,0.28,0.16,0,0,0,0,1,0,0,1
p_Central_Makwanpur,1156000000,10000000,0.2,0.21,0.08,0,0,0,0,1,0,0,1
p_Central_Nuwakot,780000000,1000000,0.2,0.19,0.17,0,0,0,0,1,0,0,1
p_Central_Parsa,1228000000,10000000,0.4,0.23,0.22,0,0,0,0,1,0,0,1
p_Central_Ramechhap,672000000,1000000,0.3,0.13,0.11,0,0,0,0,1,0,0,1
p_Central_Rasuwa,104000000,1000000,0.3,0.24,0.43,0,0,0,0,1,0,0,1
p_Central_Rautahat,1528000000,10000000,0.4,0.18,0.08,0,0,0,0,1,0,0,1
p_Central_Sarlahi,1756000000,10000000,0.3,0.14,0.16,0,0.12,0,0,1,0,0,1
p_Central_Sindhuli,816000000,1000000,0.4,0.17,0,0,0,0,0,1,0,0,1
p_Central_Sindhupalchok,872000000,1000000,0.2,0.24,0,0,0,0,0,1,0,0,1
p_East,15248000000,3000000,0,0,0,0,0,1,0,0,1,0,1
p_Far-Western,6196000000,1000000,0,0,0,0.4,0,0,1,0,0,1,1
p_Mid-Western,9084000000,2000000,0,0,0,0.4,0,0,1,0,0,1,1
p_West,13192000000,2500000,0,0,0,0.4,0,0,1,0,0,1,1
