rup_mag,dist_rrup,damping,site_backarc,rup_hypo_depth,site_vs30,result_type,5.000,2.000,1.000,0.500,0.303,0.200,0.100,pga
7.0,10.0,5.0,1.0,20.0,760.0,MEAN,0.02613841954047406,0.13034048252106728,0.29687889469072065,0.618414016519542,0.9246541526249076,1.1751121710262797,1.2968188793197148,0.6000387869719788
7.0,12.6,5.0,1.0,20.0,760.0,MEAN,0.02469899740048969,0.12178094069226238,0.2751562135312568,0.5668645840020841,0.8367184094489838,1.0473198248395548,1.1276629830906737,0.525871124494752
7.0,15.9,5.0,1.0,20.0,760.0,MEAN,0.023253017819545092,0.11318251092624125,0.25373438469606857,0.516272894766329,0.7524529070876402,0.9278533165069129,0.9740456797265079,0.4579091528253958
7.0,20.0,5.0,1.0,20.0,760.0,MEAN,0.02178609155603974,0.10461147471629997,0.2324231187442958,0.4670671511584758,0.6718608335507777,0.8156039575257896,0.8349862510648506,0.39598553737000397
7.0,25.1,5.0,1.0,20.0,760.0,MEAN,0.01994707976858201,0.09429297200758899,0.20605318146280915,0.4076423761428726,0.5762080540605731,0.6851400017093526,0.6777652909720172,0.3253713613671765
7.0,31.6,5.0,1.0,20.0,760.0,MEAN,0.018116709663377566,0.08411613792022046,0.18079204798919052,0.35138184950450463,0.4876175459161981,0.5673869260889269,0.5419750878298377,0.263620588025696
7.0,39.8,5.0,1.0,20.0,760.0,MEAN,0.016243489215253194,0.07382089808877688,0.15594782585478,0.29694726145316674,0.4033474581590677,0.4585422149020377,0.4217735338496447,0.20867927750298768
7.0,50.1,5.0,1.0,20.0,760.0,MEAN,0.01443043172675103,0.06389683170831377,0.13264146942529173,0.2457419637375246,0.3261214198188584,0.36289361285331184,0.3209809990263054,0.16247229847505404
7.0,63.1,5.0,1.0,20.0,760.0,MEAN,0.012626393630434383,0.05449784437849761,0.11042802996416153,0.19910369711355522,0.25785723678372974,0.2799492603716267,0.2392650828227919,0.12410215541536135
7.0,79.4,5.0,1.0,20.0,760.0,MEAN,0.01095416616291426,0.04590704351459785,0.09054809637600673,0.15840880742930405,0.19974656722795134,0.21187480918603874,0.17501663294709136,0.09353611430914527
7.0,100.0,5.0,1.0,20.0,760.0,MEAN,0.00944450768708991,0.03826302701766147,0.07327896461895325,0.12398790572813609,0.15201250802938898,0.15768098507132397,0.1259445341696566,0.069659335040946
7.0,125.9,5.0,1.0,20.0,760.0,MEAN,0.008045986960757935,0.03136023615417279,0.057860119253558405,0.0940544448601965,0.11170672628614223,0.11320857516312684,0.08850734728907193,0.051177530339437144
7.0,158.5,5.0,1.0,20.0,760.0,MEAN,0.006816780726971901,0.025467090078203497,0.045110674879687285,0.07028769872809214,0.08075684142814095,0.07999803590627712,0.061359148539513936,0.03731464587553833
7.0,199.5,5.0,1.0,20.0,760.0,MEAN,0.0057408913073704404,0.02039761190483028,0.03442542609917001,0.051083344619559004,0.05654306214351921,0.05487560538886652,0.04161781970366763,0.026969899270947385
7.0,251.2,5.0,1.0,20.0,760.0,MEAN,0.004788277641583604,0.016035382521828623,0.025414368597356105,0.03536546106523215,0.03751278642211283,0.03585744363586611,0.02735768372142031,0.019243289982992098
7.0,316.2,5.0,1.0,20.0,760.0,MEAN,0.003787732709922574,0.011851663833095001,0.017493605336463998,0.02269234221723541,0.022992136251180004,0.021695982626788502,0.016787240967387405,0.01297117517282345
7.0,398.1,5.0,1.0,20.0,760.0,MEAN,0.0027238257701088704,0.007812307413987478,0.010553082284226687,0.01249048564017273,0.011991660496355526,0.011227403330696734,0.009067327964778476,0.007924636025489639
7.0,501.2,5.0,1.0,20.0,760.0,MEAN,0.0018948695830169606,0.00494628714188812,0.006067074452121572,0.006552082005958217,0.0059673199551129276,0.005544716228578028,0.004669596173532696,0.004653495780123362
7.0,631.0,5.0,1.0,20.0,760.0,MEAN,0.001243309707157939,0.0028706439152343566,0.003091571709080541,0.002952428061325536,0.0025094544925663557,0.002345737033836244,0.0021457510040924143,0.0025572861375017606
7.0,794.3,5.0,1.0,20.0,760.0,MEAN,0.0007625693127067498,0.0015201250802938898,0.001399842982270754,0.0011541953609595695,0.0009058980491839932,0.0008542388609515569,0.0008791830860413101,0.0013055073595624432
7.25,10.0,5.0,1.0,20.0,760.0,MEAN,0.03361857681847426,0.15523131068004065,0.33249056383060477,0.6743406254753321,0.9812492197563891,1.2055336141918633,1.302204897674283,0.5967319955112929
7.25,12.6,5.0,1.0,20.0,760.0,MEAN,0.03204640555010352,0.1464128938085594,0.31130014603994943,0.624855108035256,0.9000762959025339,1.0923940460839816,1.156323426804937,0.5329412355258285
7.25,15.9,5.0,1.0,20.0,760.0,MEAN,0.03042841455471767,0.13739765621740407,0.2899875310603501,0.5758101610810383,0.8206903454171426,0.9835112328216815,1.0208908807168293,0.47312873405508066
7.25,20.0,5.0,1.0,20.0,760.0,MEAN,0.02875936710091149,0.1282269535843187,0.26839803035125154,0.5269620311726825,0.7431548636534585,0.8791830860413101,0.8949099245273557,0.41723364740155444
7.25,25.1,5.0,1.0,20.0,760.0,MEAN,0.026526461703569846,0.11635346589505367,0.24042483375681345,0.4647071177095614,0.6447321459720573,0.7486508541600151,0.7390593648116285,0.3484811766059761
7.25,31.6,5.0,1.0,20.0,760.0,MEAN,0.024242607183286646,0.10451516834493593,0.2129508237715823,0.4044634895166629,0.5514159503455114,0.6280284593774016,0.6008683440974536,0.2869322239207564
7.25,39.8,5.0,1.0,20.0,760.0,MEAN,0.021851402886001424,0.09231649866656656,0.18508845252636913,0.34425426099170003,0.45970510270220727,0.5128369686390819,0.4736737573205419,0.2297096946026855
7.25,50.1,5.0,1.0,20.0,760.0,MEAN,0.019457154364927818,0.08025633521081088,0.15760838701179322,0.2865360861091711,0.37504149778200124,0.40867617920536686,0.36440080224633586,0.1802516813517589
7.25,63.1,5.0,1.0,20.0,760.0,MEAN,0.01711903675692067,0.06868775537242003,0.13191048721555526,0.2332809764198144,0.29783746337507194,0.31745291872831416,0.27338792228647224,0.13841377849706124
7.25,79.4,5.0,1.0,20.0,760.0,MEAN,0.01491349127334806,0.058060306537851714,0.1085373776387888,0.1863285157214516,0.23167508147382304,0.2415345843671528,0.20117746177601076,0.104949246398559
