rup_mag,dist_rhypo,result_type,damping,pgv,pga,0.005,0.01,0.1,0.2,0.25,0.3,0.4,0.5
  1.00,  1.00,MEAN,5.0, 0.1956659E-02, 0.2347912E-03, 0.2347912E-03, 0.2401512E-03, 0.2826946E-03, 0.5707647E-04, 0.3293447E-04, 0.2101510E-04, 0.1060661E-04, 0.6418124E-05,
  1.00,  2.00,MEAN,5.0, 0.8664110E-03, 0.1000514E-03, 0.1000514E-03, 0.1028000E-03, 0.1369442E-03, 0.2788022E-04, 0.1607360E-04, 0.1024911E-04, 0.5127773E-05, 0.3074308E-05,
  1.00,  5.00,MEAN,5.0, 0.2898053E-03, 0.3147119E-04, 0.3147119E-04, 0.3250193E-04, 0.4977447E-04, 0.1059093E-04, 0.6120526E-05, 0.3910295E-05, 0.1941414E-05, 0.1152490E-05,
  1.00, 10.00,MEAN,5.0, 0.1228602E-03, 0.1251535E-04, 0.1251535E-04, 0.1295731E-04, 0.2178858E-04, 0.4923227E-05, 0.2866733E-05, 0.1842853E-05, 0.9154451E-06, 0.5414171E-06,
  1.00, 20.00,MEAN,5.0, 0.4932714E-04, 0.4565187E-05, 0.4565187E-05, 0.4725982E-05, 0.8633815E-05, 0.2151101E-05, 0.1275428E-05, 0.8321081E-06, 0.4184065E-06, 0.2482398E-06,
  1.00, 50.00,MEAN,5.0, 0.1229891E-04, 0.9006806E-06, 0.9006806E-06, 0.9243050E-06, 0.1833134E-05, 0.5848094E-06, 0.3679174E-06, 0.2519450E-06, 0.1338535E-06, 0.8161339E-07,
  2.00,  1.00,MEAN,5.0, 0.2794232E-01, 0.2126339E-02, 0.2126339E-02, 0.2126959E-02, 0.3700847E-02, 0.1351774E-02, 0.8572860E-03, 0.5909205E-03, 0.3059221E-03, 0.1803187E-03,
  2.00,  2.00,MEAN,5.0, 0.1237289E-01, 0.9060950E-03, 0.9060950E-03, 0.9104739E-03, 0.1792781E-02, 0.6603027E-03, 0.4183967E-03, 0.2881933E-03, 0.1478983E-03, 0.8637345E-04,
  2.00,  5.00,MEAN,5.0, 0.4138604E-02, 0.2850124E-03, 0.2850124E-03, 0.2878615E-03, 0.6516139E-03, 0.2508310E-03, 0.1593176E-03, 0.1099530E-03, 0.5599545E-04, 0.3237946E-04,
  2.00, 10.00,MEAN,5.0, 0.1754521E-02, 0.1133427E-03, 0.1133427E-03, 0.1147596E-03, 0.2852413E-03, 0.1165995E-03, 0.7462123E-04, 0.5181890E-04, 0.2640382E-04, 0.1521124E-04,
  2.00, 20.00,MEAN,5.0, 0.7044227E-03, 0.4134366E-04, 0.4134366E-04, 0.4185685E-04, 0.1130281E-03, 0.5094571E-04, 0.3319947E-04, 0.2339792E-04, 0.1206793E-04, 0.6974362E-05,
  2.00, 50.00,MEAN,5.0, 0.1756364E-03, 0.8156831E-05, 0.8156831E-05, 0.8186338E-05, 0.2399816E-04, 0.1385037E-04, 0.9576907E-05, 0.7084398E-05, 0.3860685E-05, 0.2292946E-05,
