rup_mag,rup_dip,rup_rake,rup_ztor,dist_rrup,dist_rjb,dist_rx,site_vs30,site_vs30measured,site_z1pt0,result_type,damping,0.01,0.02,0.03,0.04,0.05,0.075,0.1,0.12,0.15,0.17,0.2,0.25,0.3,0.4,0.5,0.75,1,1.5,2,3,4,5,7.5,10
3.5,90,-70,0,0,0,0,180,0,5,INTER_EVENT_STDDEV,5,0.36382,0.36697,0.36765,0.36679,0.36528,0.35963,0.36214,0.36682,0.37474,0.38032,0.38878,0.40081,0.40988,0.42179,0.42904,0.43915,0.44455,0.44994,0.45284,0.4557,0.45739,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,180,0,10,INTER_EVENT_STDDEV,5,0.36382,0.36697,0.36765,0.36679,0.36528,0.35963,0.36214,0.36682,0.37474,0.38032,0.38878,0.40081,0.40988,0.42179,0.42904,0.43915,0.44455,0.44994,0.45284,0.4557,0.45739,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,180,0,23.5,INTER_EVENT_STDDEV,5,0.36382,0.36697,0.36765,0.36679,0.36528,0.35963,0.36214,0.36682,0.37474,0.38032,0.38878,0.40081,0.40988,0.42179,0.42904,0.43915,0.44455,0.44994,0.45284,0.4557,0.45739,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,760,0,5,INTER_EVENT_STDDEV,5,0.39943,0.40211,0.40579,0.40881,0.41139,0.41605,0.41986,0.42253,0.42592,0.42782,0.43021,0.43338,0.4358,0.43933,0.44174,0.44584,0.44837,0.45148,0.45337,0.45578,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,760,0,10,INTER_EVENT_STDDEV,5,0.39943,0.40211,0.40579,0.40881,0.41139,0.41605,0.41986,0.42253,0.42592,0.42782,0.43021,0.43338,0.4358,0.43933,0.44174,0.44584,0.44837,0.45148,0.45337,0.45578,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,760,0,23.5,INTER_EVENT_STDDEV,5,0.39943,0.40211,0.40579,0.40881,0.41139,0.41605,0.41986,0.42253,0.42592,0.42782,0.43021,0.43338,0.4358,0.43933,0.44174,0.44584,0.44837,0.45148,0.45337,0.45578,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,1500,0,5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,1500,0,10,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,0,0,0,1500,0,23.5,INTER_EVENT_STDDEV,5,0.4,0.4026,0.4063,0.4095,0.4124,0.4179,0.4219,0.4244,0.4275,0.4292,0.4313,0.4341,0.4363,0.4396,0.4419,0.4459,0.4484,0.4515,0.4534,0.4558,0.4574,0.4584,0.4601,0.4612
3.5,90,-70,0,5,0,0,180,0,5,INTER_EVENT_STDDEV,5,0.38808,0.39092,0.39361,0.39542,0.39684,0.39862,0.40163,0.40448,0.40901,0.41203,0.41638,0.42248,0.42711,0.43343,0.43745,0.44357,0.44707,0.45096,0.45321,0.45577,0.4574,0.4584,0.4601,0.4612
