rup_mag,dist_repi,rup_hypo_depth,result_type,mmi 
4.5,1.00E-01,5,MEAN,5.256
4.5,1.00E-01,10,MEAN,5.256
4.5,1.00E-01,15,MEAN,5.256
4.5,1.00E-01,20,MEAN,5.256
4.5,1.00E-01,30,MEAN,5.256
4.5,1.00E-01,40,MEAN,5.256
4.5,1,5,MEAN,5.24
4.5,1,10,MEAN,5.252
4.5,1,15,MEAN,5.254
4.5,1,20,MEAN,5.255
4.5,1,30,MEAN,5.256
4.5,1,40,MEAN,5.256
4.5,2,5,MEAN,5.196
4.5,2,10,MEAN,5.24
4.5,2,15,MEAN,5.249
4.5,2,20,MEAN,5.252
4.5,2,30,MEAN,5.254
4.5,2,40,MEAN,5.255
4.5,3,5,MEAN,5.132
4.5,3,10,MEAN,5.221
4.5,3,15,MEAN,5.24
4.5,3,20,MEAN,5.246
4.5,3,30,MEAN,5.252
4.5,3,40,MEAN,5.253
4.5,4,5,MEAN,5.057
4.5,4,10,MEAN,5.195
4.5,4,15,MEAN,5.227
4.5,4,20,MEAN,5.239
4.5,4,30,MEAN,5.248
4.5,4,40,MEAN,5.251
4.5,5,5,MEAN,4.977
4.5,5,10,MEAN,5.164
4.5,5,15,MEAN,5.212
4.5,5,20,MEAN,5.23
4.5,5,30,MEAN,5.244
4.5,5,40,MEAN,5.249
4.5,6,5,MEAN,4.896
4.5,6,10,MEAN,5.129
4.5,6,15,MEAN,5.194
4.5,6,20,MEAN,5.219
4.5,6,30,MEAN,5.239
4.5,6,40,MEAN,5.246
4.5,7,5,MEAN,4.817
4.5,7,10,MEAN,5.092
4.5,7,15,MEAN,5.173
4.5,7,20,MEAN,5.207
4.5,7,30,MEAN,5.232
4.5,7,40,MEAN,5.242
4.5,8,5,MEAN,4.742
4.5,8,10,MEAN,5.052
4.5,8,15,MEAN,5.151
4.5,8,20,MEAN,5.192
4.5,8,30,MEAN,5.225
4.5,8,40,MEAN,5.238
4.5,9,5,MEAN,4.67
4.5,9,10,MEAN,5.011
4.5,9,15,MEAN,5.127
4.5,9,20,MEAN,5.177
4.5,9,30,MEAN,5.218
4.5,9,40,MEAN,5.233
4.5,10,5,MEAN,4.602
4.5,10,10,MEAN,4.969
4.5,10,15,MEAN,5.101
4.5,10,20,MEAN,5.16
4.5,10,30,MEAN,5.209
4.5,10,40,MEAN,5.228
4.5,11,5,MEAN,4.538
4.5,11,10,MEAN,4.928
4.5,11,15,MEAN,5.075
4.5,11,20,MEAN,5.142
4.5,11,30,MEAN,5.2
4.5,11,40,MEAN,5.222
4.5,12,5,MEAN,4.478
4.5,12,10,MEAN,4.886
4.5,12,15,MEAN,5.047
4.5,12,20,MEAN,5.124
4.5,12,30,MEAN,5.19
4.5,12,40,MEAN,5.216
4.5,14,5,MEAN,4.366
4.5,14,10,MEAN,4.805
4.5,14,15,MEAN,4.991
4.5,14,20,MEAN,5.084
4.5,14,30,MEAN,5.168
4.5,14,40,MEAN,5.202
4.5,16,5,MEAN,4.265
4.5,16,10,MEAN,4.727
4.5,16,15,MEAN,4.934
4.5,16,20,MEAN,5.042
4.5,16,30,MEAN,5.144
4.5,16,40,MEAN,5.187
4.5,18,5,MEAN,4.173
4.5,18,10,MEAN,4.652
4.5,18,15,MEAN,4.877
4.5,18,20,MEAN,4.999
4.5,18,30,MEAN,5.118
4.5,18,40,MEAN,5.17
4.5,20,5,MEAN,4.089
4.5,20,10,MEAN,4.581
4.5,20,15,MEAN,4.82
4.5,20,20,MEAN,4.955
4.5,20,30,MEAN,5.091
4.5,20,40,MEAN,5.152
4.5,22,5,MEAN,4.012
4.5,22,10,MEAN,4.514
4.5,22,15,MEAN,4.765
4.5,22,20,MEAN,4.911
4.5,22,30,MEAN,5.062
4.5,22,40,MEAN,5.133
4.5,25,5,MEAN,3.906
4.5,25,10,MEAN,4.419
4.5,25,15,MEAN,4.685
4.5,25,20,MEAN,4.845
4.5,25,30,MEAN,5.018
4.5,25,40,MEAN,5.102
4.5,28,5,MEAN,3.809
4.5,28,10,MEAN,4.332
4.5,28,15,MEAN,4.609
4.5,28,20,MEAN,4.78
4.5,28,30,MEAN,4.972
4.5,28,40,MEAN,5.069
4.5,32,5,MEAN,3.694
