# GMPE: BooreAtkinson2008, SA=0.05,0.15,1.0,2.0,4.0
rup_mag, dist_rrup, rup_rake, hypo_depth, site_vs30, damping, mean, std_total
4,10,0.0,10.0,800.0,5,-5.988076127526435,0.47833264863430697
4,25,0.0,10.0,800.0,5,-6.788742727239321,0.47833264863430697
4,50,0.0,10.0,800.0,5,-7.48764148505386,0.47833264863430697
4,100,0.0,10.0,800.0,5,-8.338918664130967,0.47833264863430697
4,200,0.0,10.0,800.0,5,-9.491346859790774,0.47833264863430697
5,10,0.0,10.0,800.0,5,-4.154586685090585,0.47833264863430697
5,25,0.0,10.0,800.0,5,-4.871848074467101,0.47833264863430697
5,50,0.0,10.0,800.0,5,-5.506534463596445,0.47833264863430697
5,100,0.0,10.0,800.0,5,-6.293397285154805,0.47833264863430697
5,200,0.0,10.0,800.0,5,-7.38136033879816,0.47833264863430697
6,10,0.0,10.0,800.0,5,-2.7774132426547355,0.47833264863430697
6,25,0.0,10.0,800.0,5,-3.4112694216948807,0.47833264863430697
6,50,0.0,10.0,800.0,5,-3.981743442139029,0.47833264863430697
6,100,0.0,10.0,800.0,5,-4.704191906178643,0.47833264863430697
6,200,0.0,10.0,800.0,5,-5.727689817805547,0.47833264863430697
7,10,0.0,10.0,800.0,5,-1.9324959252188851,0.47833264863430697
7,25,0.0,10.0,800.0,5,-2.48294689392266,0.47833264863430697
7,50,0.0,10.0,800.0,5,-2.989208545681614,0.47833264863430697
7,100,0.0,10.0,800.0,5,-3.6472426522024812,0.47833264863430697
7,200,0.0,10.0,800.0,5,-4.606275421812933,0.47833264863430697
