ZTOR,Delta sigma,kappa,Geometric spreading,Q,Branch,Damping (%),Period,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10
1,1,1,1,1,1,5,0.01,6.48128653,0.289335,-0.13462758,-2.23895833,-0.00682169,0.00088797,3.00875382,0.32202308,0.26694647,-0.2170168
1,1,1,1,2,2,5,0.01,5.32597914,0.35349866,-0.12149287,-2.03746025,-0.0061263,0.00075648,2.3130277,0.35545258,0.17093558,-0.20665529
1,1,1,1,3,3,5,0.01,3.45188871,0.48852796,-0.09751658,-1.76322829,-0.00493939,0.0005185,1.32559892,0.43206754,0.08505112,-0.18289887
1,1,1,2,1,4,5,0.01,6.63865548,0.28684531,-0.1352581,-2.27627288,-0.00685163,0.00088586,3.18108943,0.31472196,0.51049717,-0.40181712
1,1,1,2,2,5,5,0.01,5.46463879,0.35052964,-0.12216684,-2.06943865,-0.00615857,0.00075466,2.45481022,0.34743882,0.41001417,-0.39185556
1,1,1,2,3,6,5,0.01,3.55071033,0.48549372,-0.09813348,-1.78535399,-0.00497638,0.00051728,1.40227915,0.42404872,0.31492594,-0.3679224
1,1,1,3,1,7,5,0.01,6.22156894,0.30577616,-0.13248479,-2.19933709,-0.00679726,0.0008837,2.76915559,0.33353196,1.21380135,-1.20392341
1,1,1,3,2,8,5,0.01,5.09689685,0.37045892,-0.11932235,-2.00616168,-0.00609801,0.00075173,2.12695747,0.36745635,1.12508038,-1.1932353
1,1,1,3,3,9,5,0.01,3.27389309,0.50552634,-0.0954307,-1.74450853,-0.00490471,0.00051294,1.23001866,0.4435013,1.05121545,-1.17005988
1,1,2,1,1,10,5,0.01,5.5486026,0.24942123,-0.15078834,-2.01218272,-0.00674116,0.00083301,2.7591883,0.33799517,0.27745782,-0.25419257
1,1,2,1,2,11,5,0.01,4.53333354,0.308664,-0.13908185,-1.84937821,-0.00606738,0.00070317,2.06420303,0.37540266,0.21503322,-0.21213414
1,1,2,1,3,12,5,0.01,3.01452228,0.42775593,-0.11864444,-1.65646361,-0.0048795,0.00047288,1.23319001,0.44687154,0.15987164,-0.11239891
1,1,2,2,1,13,5,0.01,5.69607076,0.2468148,-0.15141747,-2.04688266,-0.00677238,0.00083108,2.92645711,0.33011374,0.51860348,-0.43901093
1,1,2,2,2,14,5,0.01,4.65765491,0.30575924,-0.13971914,-1.87796068,-0.0061014,0.00070159,2.19038246,0.36721437,0.45086399,-0.39721994
1,1,2,2,3,15,5,0.01,3.10468562,0.42495275,-0.11920718,-1.67686932,-0.00491761,0.00047182,1.3011783,0.4390674,0.38796478,-0.29720942
1,1,2,3,1,16,5,0.01,5.30186769,0.26596825,-0.14864786,-1.97593805,-0.00671525,0.00082858,2.52805,0.35034395,1.22750646,-1.2412279
1,1,2,3,2,17,5,0.01,4.32205217,0.32547332,-0.13696207,-1.822198,-0.00603713,0.00069819,1.89906265,0.38761048,1.17320906,-1.19900319
1,1,2,3,3,18,5,0.01,2.84733868,0.44430672,-0.11663797,-1.63966134,-0.00484415,0.00046726,1.14829541,0.45797266,1.12810779,-1.09987316
1,1,3,1,1,19,5,0.01,5.26838945,0.21528582,-0.16444576,-1.92674306,-0.00661069,0.00079188,2.51570896,0.35231424,0.28416772,-0.2249568
1,1,3,1,2,20,5,0.01,4.38391196,0.26941002,-0.15388615,-1.79092596,-0.00592952,0.00066557,1.92102659,0.38742929,0.23251453,-0.1702143
1,1,3,1,3,21,5,0.01,3.07207025,0.37549475,-0.13578021,-1.63275939,-0.00472928,0.00044645,1.21795157,0.45084784,0.18197721,-0.06181542
1,1,3,2,1,22,5,0.01,5.40681794,0.21257166,-0.16507446,-1.95906729,-0.00664313,0.00079011,2.66862864,0.34428499,0.52320567,-0.40983615
1,1,3,2,2,23,5,0.01,4.50063261,0.26653742,-0.15450355,-1.81771048,-0.00596451,0.00066412,2.03562611,0.37932141,0.46664151,-0.3552489
1,1,3,2,3,24,5,0.01,3.15973814,0.37276618,-0.13632431,-1.65269022,-0.00476779,0.00044545,1.28333264,0.44318326,0.40958365,-0.24657679
1,1,3,3,1,25,5,0.01,5.03460526,0.23192591,-0.16231283,-1.8938151,-0.00658322,0.00078725,2.3069143,0.36473202,1.23724565,-1.21199463
